,time,word,tf_idf
1,30/05/2017,brucelim888,2.319482798
2,12/11/2015,carladkarin,2.319482798
3,28/02/2016,awake,2.929918052
4,28/02/2016,half,2.583344462
5,20/08/2016,ricardo,3.479224197
6,16/09/2016,spider,2.319482798
7,30/09/2016,lulusog,2.319482798
8,04/11/2016,galantis,3.479224197
9,26/02/2017,teeth,2.088433738
10,04/03/2017,met,2.159695532
11,18/03/2017,myawww,3.479224197
12,23/03/2017,siesta,2.088433738
13,02/04/2017,meow,3.591152563
14,08/04/2017,slurp,2.319482798
15,27/04/2017,etheral,2.319482798
16,27/04/2017,stones,2.319482798
17,06/05/2017,calico's,3.479224197
18,24/08/2017,ulumpong,3.479224197
19,25/08/2017,checking,2.088433738
20,25/08/2017,distant,2.319482798
21,28/08/2017,instagramcats,1.953278702
22,09/09/2017,instagramcats,1.953278702
23,15/09/2017,hai,2.319482798
24,28/09/2017,assembly,2.319482798
25,29/09/2017,gravity,3.479224197
26,02/10/2017,este,2.319482798
27,02/10/2017,guards,2.088433738
28,08/10/2017,nofilter,2.088433738
29,08/10/2017,smoulder,2.088433738
30,22/10/2017,recognize,3.479224197
31,22/11/2017,hallo,2.319482798
32,22/11/2017,sleepyhead,2.319482798
33,23/11/2017,catspotting,2.67450524
34,04/12/2017,preggy,2.319482798
35,13/01/2018,graceful,2.319482798
36,16/01/2018,cozy,2.929918052
37,01/02/2018,siesta,3.132650606
38,04/02/2018,incognito,2.319482798
39,04/02/2018,random,2.506269122
40,06/02/2018,cuteness,3.132650606
41,06/02/2018,handle,2.583344462
42,12/02/2018,thebookstopph,1.953278702
43,17/02/2018,ctrl,2.319482798
44,19/02/2018,miss,2.67450524
45,19/02/2018,shangrilaathefort,1.953278702
46,19/02/2018,stay,2.28027656
47,20/02/2018,art,2.088433738
48,20/02/2018,cat's,2.088433738
49,20/02/2018,facebook,3.374929455
50,20/02/2018,grab,2.319482798
51,20/02/2018,justiceforcats,2.67450524
52,20/02/2018,knead,2.319482798
53,20/02/2018,offer,2.088433738
54,20/02/2018,reasons,2.319482798
55,20/02/2018,rise,2.088433738
56,20/02/2018,shangfort,1.953278702
57,20/02/2018,shangfortcomesalive,2.319482798
58,20/02/2018,spread,5.572154032
59,20/02/2018,thou,2.319482798
60,21/02/2018,aaaaaaa,3.479224197
61,21/02/2018,cares,2.088433738
62,21/02/2018,defendpressfreedom,2.319482798
63,21/02/2018,facebook,3.374929455
64,21/02/2018,failed,2.319482798
65,21/02/2018,gabatin_richard,3.479224197
66,21/02/2018,humble,1.953278702
67,21/02/2018,ing,2.319482798
68,21/02/2018,justice,2.28027656
69,21/02/2018,public,2.439503426
70,21/02/2018,stupid,2.929918052
71,21/02/2018,today’s,2.786077016
72,21/02/2018,transparent,3.479224197
73,21/02/2018,tweet,5.572154032
74,21/02/2018,update,2.125199096
75,21/02/2018,whhyyyy,3.479224197
76,22/02/2018,afternoon,2.439503426
77,22/02/2018,art,3.132650606
78,22/02/2018,collar,2.088433738
79,22/02/2018,crossed,2.319482798
80,22/02/2018,cruelty,2.196749518
81,22/02/2018,facebook,3.374929455
82,22/02/2018,fingers,2.319482798
83,22/02/2018,friends,3.700351855
84,22/02/2018,hunter,3.479224197
85,22/02/2018,mcdepot,2.319482798
86,22/02/2018,owner,2.67450524
87,22/02/2018,pics,4.879006852
88,22/02/2018,pictures,2.583344462
89,22/02/2018,prowl,3.479224197
90,22/02/2018,residentcat,2.786077016
91,22/02/2018,tweet,5.572154032
92,22/02/2018,update,2.125199096
93,22/02/2018,worry,2.929918052
94,22/02/2018,yeay,2.319482798
95,23/02/2018,afternoon,2.439503426
96,23/02/2018,demonstrated,3.479224197
97,23/02/2018,everyone’s,2.319482798
98,23/02/2018,evil,2.380611908
99,23/02/2018,facebook,3.374929455
100,23/02/2018,flashbackfriday,3.132650606
101,23/02/2018,forget,2.67450524
102,23/02/2018,incompetent,2.319482798
103,23/02/2018,killing,2.088433738
104,23/02/2018,pics,4.879006852
105,23/02/2018,question,2.088433738
106,23/02/2018,sit,2.380611908
107,23/02/2018,spring,6.958448393
108,23/02/2018,stupid,1.953278702
109,23/02/2018,thebookproject,3.479224197
110,23/02/2018,update,2.125199096
111,23/02/2018,won’t,2.786077016
112,24/02/2018,ameliadiaries,3.479224197
113,24/02/2018,bugün,6.958448393
114,24/02/2018,consideration,3.479224197
115,24/02/2018,pawsphilippines,1.953278702
116,24/02/2018,playful,2.583344462
117,24/02/2018,profit,2.929918052
118,25/02/2018,developing,3.479224197
119,25/02/2018,facebook,3.374929455
120,25/02/2018,highstreet,1.953278702
121,25/02/2018,learn,2.236770872
122,25/02/2018,story,1.98135806
123,25/02/2018,survivors,2.088433738
124,25/02/2018,wonderful,2.506269122
125,26/02/2018,cruelty,2.196749518
126,26/02/2018,facebook,3.374929455
127,26/02/2018,integrity,2.786077016
128,26/02/2018,transparency,2.583344462
129,27/02/2018,facebook,3.374929455
130,27/02/2018,they’re,2.506269122
131,28/02/2018,cruelty,2.196749518
132,28/02/2018,mikas,2.319482798
133,28/02/2018,remember,2.583344462
134,28/02/2018,snow,2.319482798
135,01/03/2018,nakakaiyak,2.088433738
136,01/03/2018,ung,2.088433738
